# Data Version	4.3
# Objects set	4.3
# Tree version	FMA3.0
# FMA ID	is_a/part_of	model component
FMA10014	is_a	FJ3175
FMA10037	is_a	FJ3154
FMA10059	is_a	FJ3155
FMA10081	is_a	FJ3156
FMA13238	is_a	FJ2422+FJ2423
FMA13256	is_a	FJ2428+FJ2438+FJ2439
FMA13278	is_a	FJ2902+FJ2904+FJ2905+FJ2906+FJ2907+FJ2908+FJ2909+FJ2910+FJ6044+FJ6045+FJ6046+FJ6047+FJ6049+FJ6050+FJ6051
FMA13279	is_a	FJ2902+FJ2904+FJ2905+FJ2906+FJ2907+FJ2908+FJ2909+FJ2910
FMA13280	is_a	FJ2911+FJ2912+FJ2913+FJ6038+FJ6039+FJ6040+FJ6041+FJ6042+FJ6088
FMA13281	is_a	FJ5981+FJ5982+FJ5983+FJ5985+FJ5986+FJ5987+FJ5988
FMA13289	is_a	FJ3054+FJ3055+FJ6025+FJ6026+FJ6028+FJ6029
FMA13290	is_a	FJ2956+FJ2957+FJ2959+FJ2960+FJ3049+FJ3056+FJ6022+FJ6023+FJ6129+FJ6130+FJ6131
FMA13291	is_a	FJ2951+FJ2952+FJ2953+FJ2954+FJ3059+FJ3060+FJ3061+FJ3062+FJ6020+FJ6021+FJ6116+FJ6117+FJ6128+FJ6135
FMA13292	is_a	FJ2945+FJ2946+FJ2948+FJ2949+FJ3041+FJ3043+FJ3044+FJ3045+FJ3046+FJ3047+FJ3048+FJ3057+FJ3058+FJ6014+FJ6015+FJ6017+FJ6018+FJ6112+FJ6113+FJ6114+FJ6115+FJ6118+FJ6125+FJ6126+FJ6127+FJ6132+FJ6134
FMA13295	is_a	FJ3131
FMA13303	is_a	FJ3262+FJ3368+FJ6373+FJ6462
FMA13318	is_a	FJ5025
FMA13319	is_a	FJ5025
FMA13321	is_a	FJ3237+FJ3362+FJ6347
FMA13322	is_a	FJ3362
FMA13323	is_a	FJ3237+FJ6347
FMA13324	is_a	FJ2220+FJ2272
FMA13325	is_a	FJ2272
FMA13326	is_a	FJ2220
FMA13329	is_a	FJ2217+FJ2269
FMA13330	is_a	FJ2269
FMA13331	is_a	FJ2217
FMA13335	is_a	FJ1452+FJ1452M
FMA13336	is_a	FJ1452
FMA13337	is_a	FJ1452M
FMA13338	is_a	FJ1565+FJ1574+FJ1575+FJ1577+FJ1586+FJ1596+FJ1597+FJ1599
FMA13341	is_a	FJ1574+FJ1596
FMA13342	is_a	FJ1565+FJ1586
FMA13343	is_a	FJ1575+FJ1597
FMA13344	is_a	FJ1577+FJ1599
FMA13346	is_a	FJ1596
FMA13347	is_a	FJ1574
FMA13348	is_a	FJ1586
FMA13349	is_a	FJ1565
FMA13350	is_a	FJ1597
FMA13351	is_a	FJ1575
FMA13352	is_a	FJ1599
FMA13353	is_a	FJ1577
FMA13354	is_a	FJ1451+FJ1451M+FJ1454+FJ1454M+FJ1455+FJ1455M
FMA13365	is_a	FJ2816
FMA13367	is_a	FJ3671+FJ3672
FMA13368	is_a	FJ3672
FMA13369	is_a	FJ3671
FMA13375	is_a	FJ1456
FMA13376	is_a	FJ1456M
FMA13379	is_a	FJ1536+FJ1536M
FMA13380	is_a	FJ1537+FJ1537M
FMA13381	is_a	FJ1536
FMA13382	is_a	FJ1536M
FMA13383	is_a	FJ1537
FMA13384	is_a	FJ1537M
FMA13385	is_a	FJ1570+FJ1592
FMA13386	is_a	FJ1571+FJ1593
FMA13387	is_a	FJ1572+FJ1594
FMA13388	is_a	FJ1594
FMA13389	is_a	FJ1572
FMA13390	is_a	FJ1593
FMA13391	is_a	FJ1571
FMA13392	is_a	FJ1592
FMA13393	is_a	FJ1570
FMA13394	is_a	FJ3279+FJ3384
FMA13395	is_a	FJ3384
FMA13396	is_a	FJ3279
FMA13397	is_a	FJ1459+FJ1459M
FMA13398	is_a	FJ1459
FMA13399	is_a	FJ1459M
FMA13400	is_a	FJ1541+FJ1541M+FJ1542+FJ1542M
FMA13401	is_a	FJ1542+FJ1542M
FMA13402	is_a	FJ1541+FJ1541M
FMA13403	is_a	FJ1542
FMA13404	is_a	FJ1542M
FMA13405	is_a	FJ1541
FMA13406	is_a	FJ1541M
FMA13407	is_a	FJ1573+FJ1595
FMA13408	is_a	FJ1595
FMA13409	is_a	FJ1573
FMA13410	is_a	FJ1460+FJ1460M
FMA13411	is_a	FJ1460M
FMA13412	is_a	FJ1460
FMA13413	is_a	FJ1504+FJ1504M
FMA13414	is_a	FJ1504
FMA13415	is_a	FJ1504M
FMA13442	is_a	FJ2930+FJ2931+FJ2932+FJ5999+FJ6000+FJ6001+FJ6096+FJ6097+FJ6098
FMA13443	is_a	FJ2926+FJ2927+FJ2928+FJ2929+FJ2939+FJ2940+FJ2941+FJ2942+FJ2943+FJ2965+FJ3022+FJ3023+FJ3024+FJ3025+FJ3026+FJ3069+FJ3070+FJ6091+FJ6092+FJ6093
FMA13444	is_a	FJ2936+FJ2947+FJ2958+FJ2961+FJ2962+FJ2963+FJ2964+FJ6090+FJ6094+FJ6095+FJ6100+FJ6111+FJ6122+FJ6133+FJ6136+FJ6137+FJ6138+FJ6139
FMA13445	is_a	FJ3050+FJ3051+FJ3052+FJ3063+FJ3065+FJ3066+FJ6008+FJ6009+FJ6010+FJ6011+FJ6012+FJ6120+FJ6121+FJ6123+FJ6124
FMA13495	is_a	FJ3223
FMA13500	is_a	FJ3224
FMA13501	is_a	FJ3203
FMA13502	is_a	FJ3204
FMA13503	is_a	FJ3205
FMA13504	is_a	FJ3206
FMA13505	is_a	FJ3207
FMA13506	is_a	FJ3208
FMA13507	is_a	FJ3209
FMA13508	is_a	FJ3210
FMA13509	is_a	FJ3211
FMA13883	is_a	FJ2438+FJ2439
FMA13884	is_a	FJ2428
FMA13889	is_a	FJ1796+FJ3848
FMA13890	is_a	FJ3673+FJ3674+FJ3675+FJ3676
FMA13894	is_a	FJ3212+FJ3214+FJ3215+FJ3216+FJ3217
FMA13895	is_a	FJ3202+FJ3213+FJ3218+FJ3219+FJ3220+FJ3221
FMA13896	is_a	FJ3213
FMA13897	is_a	FJ3218
FMA13898	is_a	FJ3219
FMA13899	is_a	FJ3220
FMA13900	is_a	FJ3221
FMA13912	is_a	FJ2667+FJ2668+FJ2671+FJ2672+FJ2673+FJ2674+FJ2675+FJ2677+FJ2714+FJ2715+FJ2716+FJ2717+FJ2718+FJ2719+FJ2720+FJ2721+FJ2722
FMA13914	is_a	FJ2632+FJ2641+FJ2645+FJ2646+FJ2647
FMA13921	is_a	FJ2632+FJ2633+FJ2634+FJ2635+FJ2636+FJ2637+FJ2638+FJ2639+FJ2640+FJ2641+FJ2642+FJ2643+FJ2644+FJ2645+FJ2646+FJ2647+FJ2648+FJ2732+FJ2733+FJ2734
FMA14065	is_a	FJ1282+FJ1284+FJ1289+FJ1292+FJ1305+FJ1317+FJ1320+FJ1332+FJ1334+FJ1335+FJ1340+FJ1343+FJ1356+FJ1368+FJ1371+FJ1465+FJ1465M+FJ1471+FJ1471M+FJ1581+FJ1760+FJ1782+FJ1808+FJ1827+FJ1895+FJ1896+FJ2417+FJ2420+FJ2421+FJ2426+FJ2427+FJ2431+FJ2432+FJ2433+FJ2434+FJ2435+FJ2436+FJ2552+FJ2553+FJ2568+FJ2569+FJ2570+FJ2629+FJ2777+FJ2787+FJ2789+FJ2794+FJ2805+FJ2816+FJ3137+FJ3143+FJ3150+FJ3151+FJ3239+FJ3242+FJ3245+FJ3248+FJ3251+FJ3254+FJ3255+FJ3333+FJ3335+FJ3337+FJ3339+FJ3341+FJ3343+FJ3345+FJ3667+FJ3667M+FJ3668+FJ3668M+FJ3669+FJ3669M+FJ3671+FJ3672+FJ6398+FJ6595+FJ6596+FJ6597+FJ6598+FJ6599+FJ6600+FJ6601+FJ6602+FJ6603+FJ6604+FJ6605+FJ6606+FJ6607+FJ6608+FJ6609+FJ6610+FJ6611+FJ6612
FMA14092	is_a	FJ2574+FJ2575+FJ2576+FJ2577+FJ2578+FJ2579+FJ2580+FJ2581+FJ2582+FJ2583+FJ2584+FJ2585+FJ2586+FJ2587+FJ2588+FJ2589+FJ2590+FJ2591+FJ2592+FJ2593+FJ2594+FJ2595+FJ2596+FJ2597+FJ2598+FJ2599+FJ2600+FJ2601+FJ2602+FJ2603+FJ2604+FJ2605+FJ2606+FJ2607+FJ2608+FJ2609+FJ2610+FJ2611+FJ2612+FJ2613+FJ2614+FJ2615+FJ2616+FJ2617+FJ2618+FJ2619+FJ2620+FJ2621+FJ2622+FJ2623+FJ2624+FJ2625+FJ2626+FJ2627+FJ2628
FMA14177	is_a	FJ3418
FMA14184	is_a	FJ2257+FJ2309+FJ5044
FMA14293	is_a	FJ1988+FJ1996+FJ3530+FJ3615
FMA14294	is_a	FJ1981+FJ1991+FJ3434+FJ3493+FJ3589+FJ3658
FMA14295	is_a	FJ4983
FMA14296	is_a	FJ4983
FMA14297	is_a	FJ4983
FMA14309	is_a	FJ3042+FJ3053+FJ3064+FJ3067+FJ3068
FMA14310	is_a	FJ3021+FJ3027+FJ3028+FJ3029
FMA14317	is_a	FJ2250+FJ2302+FJ4718+FJ5002+FJ5014+FJ5136+FJ5183+FJ5198
FMA14319	is_a	FJ2250+FJ2302
FMA14323	is_a	FJ5231
FMA14324	is_a	FJ5205
FMA14325	is_a	FJ5187
FMA14326	is_a	FJ4996
FMA14329	is_a	FJ3102+FJ3122
FMA14331	is_a	FJ3641
FMA14332	is_a	FJ3647
FMA14333	is_a	FJ3465+FJ3566
FMA14334	is_a	FJ3477+FJ3478+FJ3577+FJ3578
FMA14335	is_a	FJ3577+FJ3578
FMA14336	is_a	FJ3477+FJ3478
FMA14341	is_a	FJ3618
FMA14343	is_a	FJ3580
FMA14344	is_a	FJ3533+FJ3618
FMA14345	is_a	FJ3533
FMA14348	is_a	FJ3480+FJ3580
FMA14349	is_a	FJ3480
FMA14383	is_a	FJ4157+FJ4173+FJ4174+FJ4178+FJ4222+FJ4241+FJ4272+FJ4279+FJ4289
FMA14384	is_a	FJ4222+FJ4241
FMA14385	is_a	FJ4224
FMA14462	is_a	FJ4425
FMA14495	is_a	FJ2816
FMA14539	is_a	FJ3080+FJ4526
FMA14540	is_a	FJ2566+FJ2567+FJ2571+FJ2572
FMA14542	is_a	FJ2565
FMA14544	is_a	FJ2571
FMA14545	is_a	FJ2566
FMA14546	is_a	FJ2572
FMA14547	is_a	FJ2567
FMA14643	is_a	FJ3396+FJ4650
FMA14645	is_a	FJ3397+FJ3398+FJ4649
FMA14647	is_a	FJ3398
FMA14668	is_a	FJ3079
FMA14669	is_a	FJ3123
FMA14670	is_a	FJ3096
FMA14678	is_a	FJ3079+FJ3080+FJ3096+FJ3123+FJ4526
FMA14734	is_a	FJ3514+FJ3515+FJ3516+FJ3517+FJ3518+FJ3519+FJ3520+FJ3619+FJ3620+FJ3621+FJ3622+FJ3623+FJ3624+FJ3625+FJ3626
FMA14735	is_a	FJ3632+FJ3636
FMA14746	is_a	FJ3619+FJ3620+FJ3621+FJ3622+FJ3623+FJ3624+FJ3625+FJ3626
FMA14747	is_a	FJ3514+FJ3515+FJ3516+FJ3517+FJ3518+FJ3519+FJ3520
FMA14754	is_a	FJ3472+FJ3586
FMA14755	is_a	FJ3586
FMA14756	is_a	FJ3472
FMA14758	is_a	FJ3532+FJ3617
FMA14759	is_a	FJ3617
